dataset,split,seed,original_pattern,mapped_pattern,levenshtein_distance,prediction,true_label,is_correct
SKAB,fold_4,42,abcb,abab,1,anomaly,0,0
BATADAL,test,42,bccc,accc,1,normal,0,1
BATADAL,test,42,bcac,acac,1,normal,0,1
BATADAL,test,42,bcac,acac,1,normal,1,0
BATADAL,test,42,bccc,accc,1,normal,0,1
BATADAL,test,42,ccbb,acbb,1,normal,0,1
BATADAL,test,42,cbba,abba,1,normal,1,0
BATADAL,test,42,bccc,accc,1,normal,0,1
BATADAL,test,42,ccbb,acbb,1,anomaly,0,0
BATADAL,test,42,cbba,abba,1,anomaly,0,0
SKAB,fold_0,123,abbc,aabc,1,anomaly,0,0
SKAB,fold_0,123,caaa,aaaa,1,anomaly,0,0
SKAB,fold_0,123,abbc,aabc,1,anomaly,0,0
SKAB,fold_3,123,baac,aaac,1,anomaly,0,0
SKAB,fold_3,123,bbac,bbaa,1,anomaly,0,0
SKAB,fold_3,123,bacb,baab,1,anomaly,0,0
SKAB,fold_3,123,acbb,aabb,1,anomaly,0,0
SKAB,fold_4,123,aabc,aaac,1,anomaly,0,0
SKAB,fold_4,123,abcc,aacc,1,anomaly,0,0
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,123,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,123,ccba,ccaa,1,anomaly,0,0
SKAB,fold_4,123,cbab,abab,1,anomaly,0,0
SKAB,fold_4,123,abbc,abba,1,anomaly,0,0
BATADAL,test,123,bccc,accc,1,normal,0,1
BATADAL,test,123,bcac,acac,1,normal,0,1
BATADAL,test,123,bcac,acac,1,normal,1,0
BATADAL,test,123,bccc,accc,1,normal,0,1
BATADAL,test,123,ccbb,acbb,1,normal,0,1
BATADAL,test,123,cbba,abba,1,normal,1,0
BATADAL,test,123,bccc,accc,1,normal,0,1
BATADAL,test,123,ccbb,acbb,1,anomaly,0,0
BATADAL,test,123,cbba,abba,1,anomaly,0,0
SKAB,fold_0,2026,cbba,abba,1,anomaly,0,0
SKAB,fold_0,2026,abbc,aabc,1,anomaly,0,0
SKAB,fold_0,2026,caaa,aaaa,1,anomaly,0,0
SKAB,fold_1,2026,ccba,ccaa,1,normal,0,1
SKAB,fold_1,2026,cbaa,abaa,1,normal,0,1
SKAB,fold_3,2026,cbba,abba,1,anomaly,0,0
BATADAL,test,2026,bccc,accc,1,normal,0,1
BATADAL,test,2026,bcac,acac,1,normal,0,1
BATADAL,test,2026,bcac,acac,1,normal,1,0
BATADAL,test,2026,bccc,accc,1,normal,0,1
BATADAL,test,2026,ccbb,acbb,1,normal,0,1
BATADAL,test,2026,cbba,abba,1,normal,1,0
BATADAL,test,2026,bccc,accc,1,normal,0,1
BATADAL,test,2026,ccbb,acbb,1,anomaly,0,0
BATADAL,test,2026,cbba,abba,1,anomaly,0,0
SKAB,fold_0,7,abac,aaac,1,anomaly,0,0
SKAB,fold_0,7,bacc,aacc,1,anomaly,0,0
SKAB,fold_0,7,ccca,ccba,1,anomaly,0,0
SKAB,fold_0,7,ccaa,cbaa,1,anomaly,0,0
SKAB,fold_0,7,caaa,aaaa,1,anomaly,0,0
SKAB,fold_2,7,ccca,ccba,1,normal,0,1
SKAB,fold_2,7,ccaa,cbaa,1,normal,0,1
SKAB,fold_2,7,caaa,aaaa,1,normal,0,1
SKAB,fold_3,7,babc,aabc,1,anomaly,0,0
SKAB,fold_3,7,abcb,abab,1,anomaly,0,0
SKAB,fold_3,7,cbba,abba,1,anomaly,0,0
SKAB,fold_3,7,babc,aabc,1,anomaly,0,0
SKAB,fold_4,7,cbbc,abbc,1,anomaly,0,0
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,0,0
SKAB,fold_4,7,cbbc,abbc,1,anomaly,0,0
SKAB,fold_4,7,cbbc,abbc,1,anomaly,0,0
SKAB,fold_4,7,cbbc,abbc,1,anomaly,0,0
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,cbbc,abbc,1,anomaly,1,1
SKAB,fold_4,7,cbbc,abbc,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,1,1
SKAB,fold_4,7,cbbc,abbc,1,anomaly,1,1
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,1,1
SKAB,fold_4,7,cbbc,abbc,1,anomaly,1,1
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,0,0
SKAB,fold_4,7,cbcb,bbcb,1,anomaly,0,0
SKAB,fold_4,7,cbbc,abbc,1,anomaly,0,0
SKAB,fold_4,7,bcbc,bbbc,1,anomaly,0,0
SKAB,fold_4,7,caaa,aaaa,1,anomaly,0,0
BATADAL,test,7,bccc,accc,1,normal,0,1
BATADAL,test,7,bcac,acac,1,normal,0,1
BATADAL,test,7,bcac,acac,1,normal,1,0
BATADAL,test,7,bccc,accc,1,normal,0,1
BATADAL,test,7,ccbb,acbb,1,normal,0,1
BATADAL,test,7,cbba,abba,1,normal,1,0
BATADAL,test,7,bccc,accc,1,normal,0,1
BATADAL,test,7,ccbb,acbb,1,anomaly,0,0
BATADAL,test,7,cbba,abba,1,anomaly,0,0
SKAB,fold_0,999,babc,baba,1,normal,0,1
SKAB,fold_0,999,abcc,aacc,1,normal,0,1
SKAB,fold_0,999,babc,baba,1,normal,0,1
SKAB,fold_0,999,abca,abaa,1,normal,0,1
SKAB,fold_0,999,bcab,baab,1,normal,0,1
SKAB,fold_0,999,babc,baba,1,normal,0,1
SKAB,fold_0,999,abcb,abab,1,normal,0,1
SKAB,fold_0,999,cbba,abba,1,normal,0,1
SKAB,fold_1,999,ccba,ccaa,1,normal,0,1
SKAB,fold_1,999,cbaa,abaa,1,normal,0,1
SKAB,fold_3,999,abbc,abba,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,normal,0,1
SKAB,fold_4,999,cbcc,abcc,1,normal,0,1
SKAB,fold_4,999,ccbb,ccba,1,normal,0,1
SKAB,fold_4,999,cbbc,aabc,2,normal,0,1
SKAB,fold_4,999,bbcc,abcc,1,normal,0,1
SKAB,fold_4,999,ccbc,ccba,1,normal,0,1
SKAB,fold_4,999,cbcc,abcc,1,normal,0,1
SKAB,fold_4,999,ccbc,ccba,1,normal,0,1
SKAB,fold_4,999,cbcc,abcc,1,normal,0,1
SKAB,fold_4,999,ccbb,ccba,1,normal,0,1
SKAB,fold_4,999,cbbb,abbb,1,normal,0,1
SKAB,fold_4,999,bbbc,bbba,1,normal,0,1
SKAB,fold_4,999,bbcb,bbab,1,normal,0,1
SKAB,fold_4,999,bcbc,bccc,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcb,cccb,1,anomaly,1,1
SKAB,fold_4,999,bcbc,bccc,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcb,bbab,1,anomaly,0,0
SKAB,fold_4,999,bcbb,babb,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcb,cccb,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,cbab,abab,1,anomaly,1,1
SKAB,fold_4,999,babc,aabc,1,anomaly,1,1
SKAB,fold_4,999,ccbb,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbc,bccc,1,anomaly,1,1
SKAB,fold_4,999,cbcb,cccb,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbc,aabc,2,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbc,bccc,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,bccb,bccc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,bccb,bccc,1,anomaly,1,1
SKAB,fold_4,999,ccbb,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbc,bccc,1,anomaly,1,1
SKAB,fold_4,999,cbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbb,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbb,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcb,bbab,1,anomaly,1,1
SKAB,fold_4,999,bcba,baba,1,anomaly,1,1
SKAB,fold_4,999,cbab,abab,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcb,cccb,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,1,1
SKAB,fold_4,999,cbbb,abbb,1,anomaly,1,1
SKAB,fold_4,999,bbbc,bbba,1,anomaly,1,1
SKAB,fold_4,999,bbcc,abcc,1,anomaly,1,1
SKAB,fold_4,999,ccbc,ccba,1,anomaly,1,1
SKAB,fold_4,999,cbcb,cccb,1,anomaly,1,1
SKAB,fold_4,999,bcbb,babb,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcb,bbab,1,anomaly,0,0
SKAB,fold_4,999,bcbc,bccc,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbc,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,bccb,bccc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcb,bbab,1,anomaly,0,0
SKAB,fold_4,999,bcbc,bccc,1,anomaly,0,0
SKAB,fold_4,999,cbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbc,aabc,2,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,ccbb,ccba,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcc,abcc,1,anomaly,0,0
SKAB,fold_4,999,babc,aabc,1,anomaly,0,0
SKAB,fold_4,999,abcb,abab,1,anomaly,0,0
SKAB,fold_4,999,bcbb,babb,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
SKAB,fold_4,999,bbbc,bbba,1,anomaly,0,0
SKAB,fold_4,999,bbcb,bbab,1,anomaly,0,0
SKAB,fold_4,999,bcbb,babb,1,anomaly,0,0
SKAB,fold_4,999,cbbb,abbb,1,anomaly,0,0
BATADAL,test,999,bccc,accc,1,normal,0,1
BATADAL,test,999,bcac,acac,1,normal,0,1
BATADAL,test,999,bcac,acac,1,normal,1,0
BATADAL,test,999,bccc,accc,1,normal,0,1
BATADAL,test,999,ccbb,acbb,1,normal,0,1
BATADAL,test,999,cbba,abba,1,normal,1,0
BATADAL,test,999,bccc,accc,1,normal,0,1
BATADAL,test,999,ccbb,acbb,1,anomaly,0,0
BATADAL,test,999,cbba,abba,1,anomaly,0,0
